text,contest
She left me for an engine that could.,497
I just feel there's no light at the end of the tunnel.,497
No one wants to hire a whistleblower.,497
We uncoupled.,497
Sometimes you only think you can.,497
"Not my desk, you idiot! The chair!",499
Not another hostile takeover.,499
I need to take this. It’s my wife.,499
Put him through.,499
"I'm sorry, I have to take this.",499
Trigger warning: I don't believe in litter boxes.,505
"I get it, you're a working stiff.",505
"I know what you're thinking ... he's just another working stiff, just like every other one she's brought home .... 
I hope it doesn't clash with the furniture.
Feminism. Crushing every ounce of pride this man had since marriage.
See you later crocodile indeed!
Alright, what did you do with the dog?
Martha, I think something is wrong with the dog.
'Wipe that defenseless animal-eating grin off your face!'
Did you hear that, Stan? I said I'm leaving you, and I'm taking our accountant with me.
When I said 'Later, gator,' I did not mean you could stay out this late.
Hold it there for a second Gary, let me get the towel to wipe your feet.
That reminds me, I could use a new pair of shoes.
GOT SHOES?
What's that ticking sound?
Where's my dog?
Honey, I know what happened to the dog now.
Well, I'll be. Didn't I release you in Florida last year?
Phew, I thought it was a Jehovah's Witness
How was your prey?
We're here for the negotiation, and I have to warn you, one of us isn't flexible.
You're supposed to be using the alley door!
Didn't I say I'd see you later, alligator?
We need to work on our definition of 'later'.
You'll be the pet, since you ate my cat.
You're not my Fido!
You look like the caiman that swallowed the cat.
This could end with crocodile tears.
I wouldn't really consider that a Watergate.
These aren't the shoes you are looking for.
I told you I'd see you later.
Did you do your business!
The neighbor called. He says his muskrat is missing.
I thought I said, See you later.
If you're looking for the Puss 'N' Boots, it's in the kitchen.
Where were you? The neighbors have been worried sick about their pets.
Phyllis, you're never going to believe what the cat brought home this time.
This doesn't look good for the dog.
Where have you been? The whole neighborhood has been worried sick wondering where you were.
What have you done with Dr. Millmoss?
Dog gone!
I take it you won't be negotiating any further?
I see you finally learned to use the crocadoor.
Ma, you gotta stop taxing people.
That was an awfully quick trip out to do potty.
Where's Fluffy?
Where's the newspaper?
I told you I'm a Catholic!
Bring a man to work day
Just give the neighbors time to get use to you.
Don't start with the tears.
One more Amber Alert and you're on a leash!
It's been more than a while.
Come on Buddy, that costume is a crock.
What you need is a good stiff drink.
Not again! What poor creature have you caught to show me this time?
What have you done with Fifi?
Another walk of shame?
Wanna wrestle?
I should have gotten the boots.
Sir fluffles! Did you burry my glasses again?
'Where were you last night? You smell like a sewer.'
Bad alligator! You've been out with that crocodile again, haven't you!
Do you want to talk about the dog that just went out this door?
I just hope you made friends with Fido next door!
Wally, now tell the truth, why did Fifi stop barking?
You know you're supposed to let Crusty in first.
You have to stop losing your collar.
Look what the cat dragged in.
I'm so over all these extra uninvited house guests!!!! They all just sneak in through the back door . BECAUSE THEY CAN",505
Wait! This is the lawyer's entrance.,505
"Go back out that door right now! By the look of your feet, you'd think you lived in mud!",505
Wall Street convict.,507
... the Boxer Rebellion.,507
"Yes, my name is Frank but don't hate me for it.",507
"OK, you can tell the boss I'll take a dive in the 8th, but I don't think it's going to be very believable.",507
We're economizing on work dinners.,507
Do YOU remember what you had for lunch last Thursday?,508
I suppose now you plan to grill me.,508
I'm not sure. What does the other leg look like?,508
I prefer the term 'high interest lender.',508
"Yeah, maybe I did. Like I said, I eat a lot of people.",508
I recommend the trout.,509
"Take my wife, please!",509
All that work to die a virgin.,509
Shouldn't you be preventing forest fires somewhere?,509
And mom said it wouldn't kill me to have kids.,509
"Best case this is his dream, and we don't really exist.",510
I prefer sexual objectification.,510
"I escaped from a fish farm - you'd probably prefer that locally-sourced, wild fellow.",510
"Hey buddy, can you cut me some slack? I just spent 4 years in the ocean, swam 1000 miles upriver, and just want a little action.",510
"On second thought, my childhood wasn't that great.",510
"Yeah, but the rent is more reasonable than you'd expect in Park Slope.",511
My boss says I need to be more mindful.,511
Whadya mean What am I doing here? I'm the latest conceptual art installation from the Museum of Contemporary Art.,511
A New York state of mind.,511
"Good Lord, how many cats do you have?",511
It's my new weight loss program!,512
"Had enough, big shot?",512
You're overcompensating for a weak second chakra.,512
How much bliss do you need?,512
"No, I don't want a magic carpet ride.",512
"What an honor to be Bloomberg's pallbearer, right?",513
Just sharing the workload,513
I didn't think this is what you meant by file sharing...,513
I still say he wanted a three piece suit.,513
Now do you grasp what the PM meant by 'three ministers with portfolio'?,513
Sometimes I think the sharing economy has gone too far.,514
And you said long form was dead.,514
Damn these low emission vehicles!,514
We'll rock till you drop.,514
"If they catch us we're gonna be breakin' rocks, not breakin' rockers.",514
"Go ahead and shoot, we're all carrying cap guns.",515
We go through this every Saturday at bath time,515
The voices in my head are screaming ' Here comes that train again ! ',515
I lost my train of thought.,515
"Now that you're comfortable with planes and buses, let's try to attack your next phobia.",515
You sound like Chicken Little.,516
Ever have one of those days?,516
"Wait a second, I can't remember if we're covered under Medicare part A, GG, or D train!!",516
I certainly don't know what could be worse than the construction dust?,516
And then it hit me...,516
"So I told her, 'Come on babe, live every moment like it's your last.'",517
A concrete metaphor comes to mind....,517
This place attracts a lot of movers and shakers.,517
They can't prove a thing without the scythe.,517
A life sentence? Are you sure?,517
Maybe it's time you think outside the box.,518
"Mr. Unabomber, your legal fees are paid by ISIS.",518
Not to worry. Your face doesn't show up on any of the security cameras.,518
How vague my broker suggest the plaything of my thoughts to invest. . . ?,518
He needs to stink outside the box.,518
He doesn't play well with others.,519
ignorance is bliss,519
Two clear cases of A.D.D.,519
Crazy is what crazy does.,519
He's too cheap to buy binoculars.,519
does Dave know what he's doing?,520
Tell me why you feel that you’re just a shell of your old self.,520
"So, how was week's experiment with oral sex?",520
"All things considered, I'd say thinking about bananas all the time is not a sexual thing in your case.",520
Tell me more about the tally man.,520
It sounds to me like you're on a journey to find inner piece.,521
I can't afford to build an ark.,521
"Yes, it really is HUUUGE.",521
And it's great at angry shareholder meetings.,521
You make me feel so whatever-comes-after-daring.,521
"It's not very good when it's windy but, at least, I'll never forget it on the bus.",522
This town may not be big enough for the two,522
Don't laugh. It beats online dating.,522
"Should I turn my power on now, sir?",522
"Shall I prepare the guest suite, or will he be an outpatient?",522
Sir. Solar panels were a bad idea.,523
This job is killing me.,523
Close your eyes and relax to sounds of the jungle.,523
I liked it better when you were the cat lady.,523
Maybe a barrel was too much...,523
"Don't blame me honey, it was your mother who Christmas gifted me a copy of : Getting Into The Monkey Business For Dummies.",524
Event Number Four: Medieval Decathlon,524
"By George, they will make me a saint.",524
"So, that's why they call you Puff.",524
Why not just incinerate me? Well because you don't want to labeled a one trick dragon now do you?,524
That's how we roll.,526
It’s true! He calls me His co-pilot.,526
I got it at a garage sale.,526
"You wanted a bigger halo, yes it is razor sharp.",526
You had me at Halo.,526
Don't you think it is a bit stupid to watch a contest between an elephant and a donkey?,531
It's turned off. That's your reflection.,531
Wide-screen... I just don't see the appeal.,531
Aren't these reality shows on Wild Kingdom great!,531
There's nothing good on TV--wanna' neck?,531
"My methods are Jungian. Sometimes a bar of soap *is* just a bar of soap, you know...",591
Some of my patients find the loofah less threatening.,591
It'll keep you Jung.,591
I hope you don't mind. My couch is brand new.,591
Immersion therapy washes away the guilt ... and exfoliates as it cleans.,591
"I know, but you had to spend twenty minutes filling the tub.",591
Do you ever want to wring your own neck?,592
